platform,id,key,name,rating,user_numbers,creator,last_updated
chrome,dkdedlpgdmmkkfjabffeganieamfklkm,cyano-wallet,Cyano Wallet,3.375,"5,000",cyano-publishing,2020-10-22 00:00:00
chrome,icmkfkmjoklfhlfdkkkgpnpldkgdmhoe,cyano-wallet-pro,Cyano Wallet Pro,0.0,21,cyanowallet,2020-11-09 00:00:00
chrome,kpcngaggbajehefdinhniockfhdhacnb,coinbag-track-all-your-co,Coinbag - Track all your coins in one place,5.0,112,CoinBag,2020-05-29 00:00:00
chrome,ojopeinoooepnfnmifmmjebccpnjamea,vechain-price-checker,VeChain Price Checker,4.6,95,A Byte Ahead,2020-10-14 00:00:00
chrome,fdahclgkkbnjkfcngfbohobpmedlcfpm,algorand-wallet,Algorand Wallet,0.0,48,Pibals,2020-01-25 00:00:00
chrome,jcacnejopjdphbnjgfaaobbfafkihpep,hive-keychain,Hive Keychain,4.555555555555555,"8,000",Matt Rosen (@yabapmatt),2020-11-29 00:00:00
chrome,klnaejjgbibmhlephnhpmaofohgkpgkd,zilpay,ZilPay,4.375,"9,000",lich666black,2020-11-06 00:00:00
chrome,imijjbmbnebfnbmonjeileijahaipglj,moonlet-wallet,Moonlet Wallet,2.1,"1,000",Moonlet,2020-11-04 00:00:00
chrome,nkhbpikfdnmjhkdnflbgikpepnbilppk,safepay,SafePay,0.0,1,contact.teamkz,2020-05-21 00:00:00
chrome,fbbckponafgkennhnmgfoikfmbkiplgp,coinstats-crypto-portfoli,CoinStats - Crypto Portfolio Tracker,4.733333333333333,"3,000",Coin Stats Inc,2020-10-09 00:00:00
chrome,lkcjlnjfpbikmcmbachjpdbijejflpcm,steem-keychain,Steem Keychain,4.705882352941177,"6,000",Matt Rosen (@yabapmatt),2020-03-24 00:00:00
chrome,jhgnbkkipaallpehbohjmkbjofjdmeid,steemkeychain,SteemKeychain,5.0,320,HappyBerrysBoy,2020-08-30 00:00:00
chrome,adfnjoodbdcoikkhallnfejjokefkkbd,v-wallet-extension,V Wallet Extension,5.0,27,V Systems,2020-12-03 00:00:00
chrome,epllefgepapckihklfccpocjbnelpojp,coinclaim,CoinClaim,3.9,"3,000",Satorify.io,2020-02-01 00:00:00
chrome,hplnpmobilcipddcpeejfmcpkfcklbpb,accby-wallet,Accby Wallet,0.0,6,accbychain,2020-01-21 00:00:00
chrome,gfjmjaloockgblofndpilcafdonjhhef,eks-token-login,EKS token login,0.0,1,ddh.haven,2020-09-14 00:00:00
chrome,japgcbmdokcibjdencjalgfjeglgbcgc,tx-ray-beta-protect-your,TX-ray (Beta): Protect Your Wallets,5.0,23,TX-ray,2020-03-19 00:00:00
chrome,jbdaocneiiinmjbjlgalhcelgbejmnid,nifty-wallet,Nifty Wallet,4.7727272727272725,"3,000",POA Network,2020-12-04 00:00:00
chrome,blnieiiffboillknjnepogjhkgnoapac,equal-wallet,EQUAL Wallet,4.754098360655738,"1,000",equalnetwork,2020-08-21 00:00:00
chrome,dacfkmlnegfmibbeabdomhahgjoipoln,xion-wallet,XION Wallet,4.428571428571429,229,Xion Global,2020-09-24 00:00:00
chrome,gbjepgaebckfidagpfeioimheabiohmg,zeon-wallet,ZEON Wallet,5.0,53,ZEON Network,2020-05-27 00:00:00
chrome,kkilomkmpmkbdnfelcpgckmpcaemjcdh,celo-desktop-wallet,Celo-desktop-wallet,0.0,47,jiyun.kim,2020-09-17 00:00:00
chrome,ihdpgdlddojmmkaokmnfdcdlooialppg,sagewallet,SageWallet,0.0,2,sagecitydevs,2020-09-04 00:00:00
chrome,fpkhlnacfhciopipcjpcjmkpldbogaeo,crypto-price-tracker,Crypto Price Tracker,4.068965517241379,685,apostopher,2020-09-01 00:00:00
chrome,mogdapldllopbflceaceonkalaebghbe,bitcoin-crypto-news,Bitcoin Crypto News,0.0,110,oinkandstuff,2020-07-14 00:00:00
chrome,kjjlmgehohdbclcmfmphmifnppmcmeio,bitcoin-price,Bitcoin Price,4.166666666666667,503,shaomxing,2020-02-05 00:00:00
chrome,fbaljaifnljnpoppjfehljmephpghaip,crypto-stats,Crypto Stats,5.0,46,ValueApps,2020-04-14 00:00:00
chrome,onebfemgnhgpkdcmijbpjakhhidonjfl,coincorner-earn-bitcoin,CoinCorner - Earn Bitcoin,5.0,286,CoinCorner,2020-10-08 00:00:00
chrome,ohianjicfacccnnokflclpcojfiecaib,samourai-wallet,Samourai Wallet,0.0,1,Streetside Development,2020-11-21 00:00:00
chrome,cjfeohjffkdehdblcolicjhhnbphcmna,qiwallet,QiWallet,5.0,153,QiSwap,2020-09-27 00:00:00
chrome,eaahcidigckkchdbjaakmglkchnhabib,beyondcoin-wallet-extensi,Beyondcoin Wallet Extension,5.0,4,Beyondcoin,2020-08-06 00:00:00
